パレットNo,セット位置,製品コード,吐出パターン番号,位置番号,傾き,A剤流圧(Mpa),B剤流圧(Mpa),A剤タンク1圧力(Mpa),A剤タンク2圧力(Mpa),B剤タンク1圧力(Mpa),B剤タンク2圧力(Mpa),A剤使用中タンク,B剤使用中タンク,A剤配合比速度(Hz),B剤配合比速度(Hz),生産総合流速(％),生産吐出時間(sec),X座標,Y座標,Z座標,余熱時間,硬化時間,投入開始日時,取出終了日時,余熱開始日時,余熱終了日時,注入開始日時,注入終了日時,硬化開始日時,硬化終了日時,生産日,製品コード(7桁),リレーケース名,注入時間,パレットR/T（分）
4,2番目,FEEJ003434E40D4,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,445,351.0,290,1079,1180,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.51666667
4,1番目,FEEJ003434E40E5,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,215,351.0,290,1079,1180,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.51666667
50,4番目,EJWJ026434E313.,6,12,無,0.15,0.17,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,62.0,5.0,776,360.0,290,1085,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EJWJ026,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＷ,9.999999823,39.48333333
9,3番目,EWRJ004434E3EAE,6,35,無,0.15,0.17,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,62.0,5.0,571,366.8,290,1093,1182,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EWRJ004,,9.000000218,39.59999999
50,2番目,FEEJ003434E40B2,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,445,351.0,290,1085,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.48333333
50,1番目,FEEJ003434E40C3,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,215,351.0,290,1085,1186,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,15.00000036,39.48333333
4,3番目,EWRJ004434E3E9D,6,35,無,0.15,0.17,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,62.0,5.0,571,366.8,290,1079,1180,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EWRJ004,,9.999999823,39.51666667
9,4番目,EJBJ008434E228%,7,13,無,0.17,0.18,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.7,830,320.0,290,1093,1182,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EJBJ008,リレ－ケ－ス本体　　　　　　　　　　　ＥＪＢ,15.00000036,39.59999999
17,3番目,EWRJ004434E3EBF,6,35,無,0.15,0.17,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,62.0,5.0,571,366.8,290,1101,1177,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,EWRJ004,,10.00000045,39.65
26,2番目,FEEJ003434E4999,1,2,無,0.16,0.18,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,445,351.0,290,1090,1180,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,39.36666667
23,1番目,FEEJ003434E4A01,1,2,無,0.17,0.19,-0.007,0.048,0.046,-0.069,タンク2,タンク1,50.8,60,70.3,9.9,215,351.0,290,1130,1210,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,2026/4/2,FEEJ003,リレ－ケ－ス本体　　　　　　　　　　　ＦＢＧ,14.99999973,40.56666667
